Cidade,Base,Estado,Nome Verdadeiro,DDD,Plataforma
ABREU E LIMA,DTEL,Pernambuco,Nome informado,81,nce
AMARAJI,DTEL,Pernambuco,Primavera ou escada,81,nce
AMEIXAS,DTEL,Pernambuco,Nome informado,81,nce
APOTI,DTEL,Pernambuco,Glória do Goitá,81,nce
BARRA DE GUABIRABA,DTEL,Pernambuco,Nome informado,81,nce
BARREIROS,DTEL,Pernambuco,Nome informado,81,nce
BELO JARDIM,DX2,Pernambuco,Nome informado,81,u31
BEZERROS,DTEL,Pernambuco,Nome informado,81,unm
BOM CONSELHO,BOM CONSELHO / SOARES & SILVA,Pernambuco,Nome informado,87,u31
BONANÇA,DTEL,Pernambuco,VITORIA OU MORENO,81,nce
BREJO DA MADRE DE DEUS,DTEL,Pernambuco,BREJO OU SANTA CRUZ,87,u31
CABO DE SANTO AGOSTINHO,DTEL,Pernambuco,Nome informado,81,nce
CAETÉS,H&A,Pernambuco,Nome informado,87,nce
CAMELA,LITORAL /SOLON,Pernambuco,Nome informado,81,u31
CARPINA,DTEL,Pernambuco,Nome informado,81,nce
CHÃ GRANDE,DTEL,Pernambuco,Nome informado,81,unm
COLÔNIA LEOPOLDINA,PALMARES SOUZA & OLIVEIRA,Alagoas,Nome informado,82,nce
CUCAU,DTEL,Pernambuco,Rio Formoso,81,nce
CUMARU,DTEL,Pernambuco,Nome informado,81,nce
ENSEADAS,DTEL,Pernambuco,Cabo de Santo Agostinho,81,u31
ESCADA,DTEL,Pernambuco,Primavera ou escada,81,unm
FREXEIRAS,DTEL,Pernambuco,"Amaraji, frexeiras ou escada",81,nce
GAIBU,DTEL,Pernambuco,Nome informado,81,u31
GAMELEIRA,DTEL,Pernambuco,Nome informado,81,unm
GARANHUNS,H&A,Pernambuco,Nome informado,87,nce
GRAVATÁ,DTEL,Pernambuco,Nome informado,81,u31
IGARASSU,DTEL,Pernambuco,Nome informado,81,nce
IPOJUCA,LITORAL /SOLON,Pernambuco,Nome informado,81,depende do serial 🤷
JABOATÃO DOS GUARARAPES,DTEL,Pernambuco,Nome informado,81,nce
JACUÍPE,PALMARES SOUZA & OLIVEIRA,Alagoas,Nome informado,82,u31
JAPARATINGA,DTEL,Alagoas,Nome informado,82,nce
JUÇARAL,DTEL,Pernambuco,CABO OU VITORIA,81,nce
LAJEDO,DX2,Pernambuco,Nome informado,81,u31
MACEIÓ,BOM CONSELHO / SOARES & SILVA,Alagoas,Nome informado,82,depende do serial 🤷
MARAGOGI,DTEL,Alagoas,Nome informado,82,nce
MASSAUASSU,DTEL,Pernambuco,Escada,81,nce
MORENO,DTEL,Pernambuco,Nome informado,81,nce
PALMARES,PALMARES SOUZA & OLIVEIRA,Pernambuco,Nome informado,81,nce
PAULISTA,DTEL,Pernambuco,Nome informado,81,nce
PAULO AFONSO,H&A,Pernambuco,Nome informado,87,u31
PEROBA,DTEL,Alagoas,Maragogi,82,nce
PESQUEIRA,DX2,Pernambuco,Nome informado,87,nce
PIXETE,SOARES & LINS,Pernambuco,São lourenço da mata,81,u31
POMBOS,DTEL,Pernambuco,Nome informado,81,nce
PORTO CALVO,DTEL,Alagoas,Nome informado,82,nce
PORTO DE GALINHAS,LITORAL /SOLON,Pernambuco,Ipojuca,81,unm
PRIMAVERA,DTEL,Pernambuco,Primavera ou escada,81,nce
RECIFE,VOICE/DTEL,Pernambuco,Nome informado,81,nce
RIACHO DAS ALMAS,DTEL,Pernambuco,Nome informado,81,nce
RIBEIRÃO,DTEL,Pernambuco,Nome informado,81,unm
RIO FORMOSO,DTEL,Pernambuco,Nome informado,81,nce
SAIRÉ,DTEL,Pernambuco,Nome informado,81,unm
SANHARÓ,DX2,Pernambuco,Nome informado,87,u31
SANTA CRUZ,DTEL,Pernambuco,Nome informado,81,u31
SÃO BENTO DO UNA,DX2,Pernambuco,Nome informado,81,u31
SÃO DOMINGOS,DTEL,Pernambuco,Santa Cruz,81,u31
SÃO JOSÉ DA COROA GRANDE,DTEL,Alagoas,Nome informado,82,nce
SÃO LOURENÇO DA MATA,SOARES & LINS,Pernambuco,Nome informado,81,u31
SERRAMBI,LITORAL /SOLON,Pernambuco,Ipojuca,81,unm
SIRINHAÉM,DTEL,Pernambuco,Nome informado,81,nce
SUAPE,DTEL,Pernambuco,Cabo de Santo Agostinho,81,nce
TAMANDARÉ,DTEL,Pernambuco,Nome informado,81,nce
TOQUINHO,LITORAL /SOLON,Pernambuco,Nome informado,81,unm
VITÓRIA,DTEL,Pernambuco,Nome informado,81,unm
