combo,valor original,beneficio,taxa instalacao,equipamento comodato
LIGHT COMERCIAL CLUB,212.41,102.51,150,500
LIGHT COMERCIAL CLUB + DEEZER,222.31,106.51,150,500
LIGHT COMERCIAL CLUB + VOZ,262.31,142.51,150,500
LIGHT COMERCIAL CLUB + DEEZER + VOZ,272.21,146.51,150,500
LIGHT COMERCIAL CLUB + I MOVEL 10GB,242.41,117.51,150,500
LIGHT COMERCIAL CLUB + I MOVEL 14GB,257.41,117.51,150,500
LIGHT COMERCIAL CLUB + I MOVEL 23GB,282.41,117.51,150,500
LIGHT COMERCIAL CLUB + II MOVEL 10GB,272.41,122.51,150,500
LIGHT COMERCIAL CLUB + II MOVEL 14GB,302.41,122.51,150,500
LIGHT COMERCIAL CLUB + II MOVEL 23GB,352.41,122.51,150,500
LIGHT COMERCIAL CLUB + III MOVEL 10GB,302.41,127.51,150,500
LIGHT COMERCIAL CLUB + III MOVEL 14GB,347.41,127.51,150,500
LIGHT COMERCIAL CLUB + III MOVEL 23GB,422.41,127.51,150,500
BASIC COMERCIAL CLUB,279.91,130.01,150,500
BASIC COMERCIAL CLUB + DEEZER,289.81,134.01,150,500
BASIC COMERCIAL CLUB + VOZ,329.81,170.01,150,500
BASIC COMERCIAL CLUB + DEEZER + VOZ,339.71,174.01,150,500
BASIC COMERCIAL CLUB + I MOVEL 10GB,309.91,135.01,150,500
BASIC COMERCIAL CLUB + I MOVEL 14GB,324.91,135.01,150,500
BASIC COMERCIAL CLUB + I MOVEL 23GB,349.91,135.01,150,500
BASIC COMERCIAL CLUB + II MOVEL 10GB,339.91,140.01,150,500
BASIC COMERCIAL CLUB + II MOVEL 14GB,369.91,140.01,150,500
BASIC COMERCIAL CLUB + II MOVEL 23GB,414.91,140.01,150,500
BASIC COMERCIAL CLUB + III MOVEL 10GB,369.91,145.01,150,500
BASIC COMERCIAL CLUB + III MOVEL 14GB,414.91,145.01,150,500
BASIC COMERCIAL CLUB + III MOVEL 23GB,489.91,145.01,150,500
BASIC COMERCIAL CLUB + IV MOVEL 10GB,399.91,150.01,150,500
BASIC COMERCIAL CLUB + IV MOVEL 14GB,459.91,150.01,150,500
BASIC COMERCIAL CLUB + IV MOVEL 23GB,559.91,150.01,150,500
BASIC COMERCIAL CLUB + V MOVEL 10GB,429.91,155.01,150,500
BASIC COMERCIAL CLUB + V MOVEL 14GB,504.91,155.01,150,500
BASIC COMERCIAL CLUB + V MOVEL 23GB,629.91,155.01,150,500
PLUS COMERCIAL CLUB,284.75,104.85,150,500
PLUS COMERCIAL CLUB + DEEZER,294.65,108.85,150,500
PLUS COMERCIAL CLUB + VOZ,370.15,180.35,150,500
PLUS COMERCIAL CLUB + I MOVEL 10GB,350.25,145.35,150,500
PLUS COMERCIAL CLUB + I MOVEL 14GB,365.25,145.35,150,500
PLUS COMERCIAL CLUB + I MOVEL 23GB,390.25,145.35,150,500
PLUS COMERCIAL CLUB + II MOVEL 10GB,380.25,150.35,150,500
PLUS COMERCIAL CLUB + II MOVEL 14GB,410.25,150.35,150,500
PLUS COMERCIAL CLUB + II MOVEL 23GB,460.25,150.35,150,500
PLUS COMERCIAL CLUB + III MOVEL 10GB,420.15,190.25,150,500
PLUS COMERCIAL CLUB + III MOVEL 14GB,455.25,155.35,150,500
PLUS COMERCIAL CLUB + III MOVEL 23GB,530.25,155.35,150,500
PLUS COMERCIAL CLUB + IV MOVEL 10GB,450.15,195.25,150,500
PLUS COMERCIAL CLUB + IV MOVEL 14GB,500.25,160.35,150,500
PLUS COMERCIAL CLUB + IV MOVEL 23GB,600.25,160.35,150,500
PLUS COMERCIAL CLUB + V MOVEL 10GB,480.15,200.25,150,500
PLUS COMERCIAL CLUB + V MOVEL 14GB,545.25,165.35,150,500
PLUS COMERCIAL CLUB + V MOVEL 23GB,670.25,165.35,150,500
