combo,valor original,beneficio,taxa instalacao,equipamento comodato
LIGHT COMERCIAL CLUB,185.41,75.51,150,500
LIGHT COMERCIAL CLUB + DEEZER,245.21,119.51,150,500
LIGHT COMERCIAL CLUB + DEEZER + VOZ,245.21,119.51,150,500
LIGHT COMERCIAL CLUB + I MOVEL 10GB,215.41,90.51,150,500
LIGHT COMERCIAL CLUB + I MOVEL 14GB,230.41,90.51,150,500
LIGHT COMERCIAL CLUB + I MOVEL 23GB,255.41,70.51,150,500
LIGHT COMERCIAL CLUB + II MOVEL 10GB,245.41,95.51,150,500
LIGHT COMERCIAL CLUB + II MOVEL 14GB,255.41,75.51,150,500
LIGHT COMERCIAL CLUB + II MOVEL 23GB,305.41,75.51,150,500
LIGHT COMERCIAL CLUB + III MOVEL 10GB,275.41,100.51,150,500
LIGHT COMERCIAL CLUB + III MOVEL 14GB,300.41,80.51,150,500
LIGHT COMERCIAL CLUB + III MOVEL 23GB,395.41,100.51,150,500
LIGHT COMERCIAL CLUB + IV MOVEL 10GB,305.41,105.51,150,500
LIGHT COMERCIAL CLUB + IV MOVEL 14GB,345.41,85.51,150,500
LIGHT COMERCIAL CLUB + IV MOVEL 23GB,465.41,105.51,150,500
LIGHT COMERCIAL CLUB + V MOVEL 10GB,335.41,110.51,150,500
LIGHT COMERCIAL CLUB + V MOVEL 14GB,390.41,90.51,150,500
LIGHT COMERCIAL CLUB + V MOVEL 23GB,535.41,110.51,150,500
LIGHT COMERCIAL CLUB + VOZ,245.21,119.51,150,500
BASIC COMERCIAL CLUB, 245.41, 95.51,150,500
BASIC COMERCIAL CLUB + DEEZER, 305.21, 139.51,150,500
BASIC COMERCIAL CLUB + DEEZER + VOZ, 305.21, 139.51,150,500
BASIC COMERCIAL CLUB + I MOVEL 10GB, 275.41, 100.51,150,500
BASIC COMERCIAL CLUB + I MOVEL 14GB, 290.41, 100.51,150,500
BASIC COMERCIAL CLUB + I MOVEL 23GB, 315.41, 100.51,150,500
BASIC COMERCIAL CLUB + II MOVEL 10GB, 305.41, 105.51,150,500
BASIC COMERCIAL CLUB + II MOVEL 14GB, 275.41, 45.51,150,500
BASIC COMERCIAL CLUB + II MOVEL 23GB, 385.41, 105.51,150,500
BASIC COMERCIAL CLUB + III MOVEL 10GB, 335.41, 110.51,150,500
BASIC COMERCIAL CLUB + III MOVEL 14GB, 380.41, 110.51,150,500
BASIC COMERCIAL CLUB + III MOVEL 23GB, 455.41, 110.51,150,500
BASIC COMERCIAL CLUB + IV MOVEL 10GB, 365.41, 115.51,150,500
BASIC COMERCIAL CLUB + IV MOVEL 14GB, 425.41, 115.51,150,500
BASIC COMERCIAL CLUB + IV MOVEL 23GB, 525.41, 115.51,150,500
BASIC COMERCIAL CLUB + V MOVEL 10GB, 395.41, 120.51,150,500
BASIC COMERCIAL CLUB + V MOVEL 14GB, 470.41, 120.51,150,500
BASIC COMERCIAL CLUB + V MOVEL 23GB, 595.41, 120.51,150,500
BASIC COMERCIAL CLUB + VOZ, 295.31, 135.51,150,500
PLUS COMERCIAL CLUB, 279.75, 99.85,150,500
PLUS COMERCIAL CLUB + DEEZER, 289.65, 103.85,150,500
PLUS COMERCIAL CLUB + DEEZER + VOZ, 339.55, 143.85,150,500
PLUS COMERCIAL CLUB + I MOVEL 10GB, 309.75, 104.85,150,500
PLUS COMERCIAL CLUB + I MOVEL 14GB, 324.75, 104.85,150,500
PLUS COMERCIAL CLUB + I MOVEL 23GB, 349.75, 104.85,150,500
PLUS COMERCIAL CLUB + II MOVEL 10GB, 339.75, 109.85,150,500
PLUS COMERCIAL CLUB + II MOVEL 14GB, 369.75, 109.85,150,500
PLUS COMERCIAL CLUB + II MOVEL 23GB, 419.75, 109.85,150,500
PLUS COMERCIAL CLUB + III MOVEL 10GB, 369.75, 114.85,150,500
PLUS COMERCIAL CLUB + III MOVEL 14GB, 414.75, 114.85,150,500
PLUS COMERCIAL CLUB + III MOVEL 23GB, 489.75, 114.85,150,500
PLUS COMERCIAL CLUB + IV MOVEL 10GB, 399.75, 119.85,150,500
PLUS COMERCIAL CLUB + IV MOVEL 14GB, 459.75, 119.85,150,500
PLUS COMERCIAL CLUB + IV MOVEL 23GB, 559.75, 119.85,150,500
PLUS COMERCIAL CLUB + V MOVEL 10GB, 429.75, 124.85,150,500
PLUS COMERCIAL CLUB + V MOVEL 14GB, 504.75, 124.85,150,500
PLUS COMERCIAL CLUB + V MOVEL 23GB, 629.75, 124.85,150,500
PLUS COMERCIAL CLUB + VOZ, 329.65, 139.85,150,500
