combo,valor original,beneficio,taxa instalacao,equipamento comodato
TELEFONIA FIXA,60.87,10.97,150,500
COMBO START,103.51,38.61,150,500
COMBO START + TV,113.41,38.61,150,500
COMBO START + DEEZER,113.41,42.61,150,500
COMBO START + TV + DEEZER,133.31,42.61,150,500
COMBO LIGHT CLUB 300MB,188.41,108.51,150,500
COMBO LIGHT CLUB 300MB + DEEZER,198.31,112.51,150,500
COMBO LIGHT CLUB 300MB + VOZ,238.31,148.51,150,500
COMBO LIGHT CLUB 300MB + VOZ + DEEZER,248.21,152.51,150,500
COMBO BASIC CLUB 600MB,219.91,120.01,150,500
COMBO BASIC CLUB 600MB + DEEZER,229.81,124.01,150,500
COMBO BASIC CLUB 600MB + DEEZER + DTEL MAX,329.71,174.01,150,800
COMBO BASIC CLUB 600MB + DEEZER + VOZ,279.71,164.01,150,500
COMBO BASIC CLUB 600MB + DTEL MAX,319.81,170.01,150,800
COMBO BASIC CLUB 600MB + VOZ,269.81,160.01,150,500
COMBO PREMIUM CLUB,330.15,170.25,150,500
COMBO PREMIUM CLUB + DTEL MAX,430.05,220.25,150,800
COMBO PREMIUM CLUB + VOZ,380.05,210.25,150,500
LIGHT CLUB 300MB + I MOVEL 10GB,218.41,113.51,150,500
LIGHT CLUB 300MB + I MOVEL 14GB,233.41,113.51,150,500
LIGHT CLUB 300MB + I MOVEL 23GB,258.41,113.51,150,500
LIGHT CLUB 300MB + II MOVEL 10GB,248.41,118.51,150,500
LIGHT CLUB 300MB + II MOVEL 14GB,278.41,118.51,150,500
LIGHT CLUB 300MB + II MOVEL 23GB,328.41,118.51,150,500
LIGHT CLUB 300MB + III MOVEL 10GB,278.41,123.51,150,500
LIGHT CLUB 300MB + III MOVEL 14GB,303.51,85.61,150,500
LIGHT CLUB 300MB + III MOVEL 23GB,398.41,123.51,150,500
BASIC CLUB 600MB + I MOVEL 10GB,249.91,125.01,150,500
BASIC CLUB 600MB + I MOVEL 14GB,264.91,125.01,150,500
BASIC CLUB 600MB + I MOVEL 23GB,289.91,125.01,150,500
BASIC CLUB 600MB + II MOVEL 10GB,259.91,110.01,150,500
BASIC CLUB 600MB + II MOVEL 14GB,309.91,130.01,150,500
BASIC CLUB 600MB + II MOVEL 23GB,359.91,130.01,150,500
BASIC CLUB 600MB + III MOVEL 10GB,289.91,115.01,150,500
BASIC CLUB 600MB + III MOVEL 14GB,354.91,135.01,150,500
BASIC CLUB 600MB + III MOVEL 23GB,429.91,135.01,150,500
BASIC CLUB 600MB + IV MOVEL 10GB,305.41,128.51,150,500
BASIC CLUB 600MB + IV MOVEL 14GB,399.91,140.01,150,500
BASIC CLUB 600MB + IV MOVEL 23GB,499.91,140.01,150,500
BASIC CLUB 600MB + V MOVEL 10GB,369.91,145.01,150,500
BASIC CLUB 600MB + V MOVEL 14GB,444.91,145.01,150,500
BASIC CLUB 600MB + V MOVEL 23GB,569.91,145.01,150,500
PREMIUM CLUB + I MOVEL 10GB,360.15,180.25,150,500
PREMIUM CLUB + I MOVEL 14GB,375.15,180.25,150,500
PREMIUM CLUB + I MOVEL 23GB,400.15,180.25,150,500
PREMIUM CLUB + II MOVEL 10GB,390.15,185.25,150,500
PREMIUM CLUB + II MOVEL 14GB,420.15,185.25,150,500
PREMIUM CLUB + II MOVEL 23GB,470.15,185.25,150,500
PREMIUM CLUB + III MOVEL 10GB,420.15,190.25,150,500
PREMIUM CLUB + III MOVEL 14GB,465.15,190.25,150,500
PREMIUM CLUB + III MOVEL 23GB,540.15,190.25,150,500
PREMIUM CLUB + IV MOVEL 10GB,450.15,195.25,150,500
PREMIUM CLUB + IV MOVEL 14GB,510.15,195.25,150,500
PREMIUM CLUB + IV MOVEL 23GB,610.15,195.25,150,500
PREMIUM CLUB + V MOVEL 10GB,480.15,200.25,150,500
PREMIUM CLUB + V MOVEL 14GB,555.15,200.25,150,500
PREMIUM CLUB + V MOVEL 23GB,610.15,195.45,150,500
