combo,valor original,beneficio,taxa instalacao,equipamento comodato
TELEFONIA FIXA,60.87,10.97,150,500
COMBO START,103.51,38.61,150,500
COMBO START + TV,113.41,38.61,150,500
COMBO START + DEEZER,113.41,42.61,150,500
COMBO START + TV + DEEZER,133.31,42.61,150,500
COMBO LIGHT CLUB 300MB + DEEZER,171.31,85.51,150,500
COMBO LIGHT CLUB 300MB + DTEL MAX,ERRO,ERRO,150,800
COMBO LIGHT CLUB 300MB + VOZ,ERRO,ERRO,150,500
COMBO LIGHT CLUB 300MB + VOZ + DEEZER,221.21,125.51,150,500
COMBO BASIC CLUB 600MB,185.41,85.51,150,500
COMBO BASIC CLUB 600MB + DEEZER,195.31,89.51,150,500
COMBO BASIC CLUB 600MB + DEEZER + VOZ,245.21,129.51,150,500
COMBO BASIC CLUB 600MB + DTEL MAX,295.21,139.51,150,800
COMBO BASIC CLUB 600MB + VOZ,235.31,125.51,150,500
LIGHT CLUB 300MB + I MOVEL 10GB,191.41,86.51,150,500
LIGHT CLUB 300MB + I MOVEL 14GB,206.41,86.51,150,500
LIGHT CLUB 300MB + I MOVEL 23GB,231.41,86.51,150,500
LIGHT CLUB 300MB + II MOVEL 10GB,221.41,91.51,150,500
LIGHT CLUB 300MB + II MOVEL 14GB,251.41,91.51,150,500
LIGHT CLUB 300MB + II MOVEL 23GB,301.41,91.51,150,500
LIGHT CLUB 300MB + III MOVEL 10GB,251.41,96.51,150,500
LIGHT CLUB 300MB + III MOVEL 14GB,296.41,76.51,150,500
LIGHT CLUB 300MB + III MOVEL 23GB,371.41,96.51,150,500
COMBO PREMIUM CLUB,289.65,129.75,150,500
COMBO PREMIUM CLUB + DTEL MAX,389.55,179.75,150,800
COMBO PREMIUM CLUB + VOZ,339.55,169.75,150,500
BASIC CLUB 600MB + I MOVEL 10GB,215.41,90.51,150,500
BASIC CLUB 600MB + I MOVEL 14GB,230.41,90.51,150,500
BASIC CLUB 600MB + I MOVEL 23GB,255.41,90.51,150,500
BASIC CLUB 600MB + II MOVEL 10GB,245.41,95.51,150,500
BASIC CLUB 600MB + II MOVEL 14GB,275.41,95.51,150,500
BASIC CLUB 600MB + II MOVEL 23GB,325.41,95.51,150,500
BASIC CLUB 600MB + III MOVEL 10GB,275.41,100.51,150,500
BASIC CLUB 600MB + III MOVEL 14GB,320.41,80.51,150,500
BASIC CLUB 600MB + III MOVEL 23GB,375.41,80.51,150,500
BASIC CLUB 600MB + IV MOVEL 10GB,305.41,105.51,150,500
BASIC CLUB 600MB + IV MOVEL 14GB,365.41,105.51,150,500
BASIC CLUB 600MB + IV MOVEL 23GB,465.41,105.51,150,500
BASIC CLUB 600MB + V MOVEL 10GB,ERRO,ERRO,150,500
BASIC CLUB 600MB + V MOVEL 14GB,410.41,110.51,150,500
BASIC CLUB 600MB + V MOVEL 23GB,535.41,110.51,150,500
PREMIUM CLUB + I MOVEL 10GB,ERRO,ERRO,150,500
PREMIUM CLUB + I MOVEL 14GB,334.65,134.75,150,500
PREMIUM CLUB + I MOVEL 23GB,359.65,134.75,150,500
PREMIUM CLUB + II MOVEL 10GB,349.65,139.75,150,500
PREMIUM CLUB + II MOVEL 14GB,379.65,119.75,150,500
PREMIUM CLUB + II MOVEL 23GB,429.65,139.75,150,500
PREMIUM CLUB + III MOVEL 10GB,379.65,124.75,150,500
PREMIUM CLUB + III MOVEL 14GB,424.65,144.75,150,500
PREMIUM CLUB + III MOVEL 23GB,499.65,144.75,150,500
PREMIUM CLUB + IV MOVEL 10GB,409.65,149.75,150,500
PREMIUM CLUB + IV MOVEL 14GB,469.65,149.75,150,500
PREMIUM CLUB + IV MOVEL 23GB,569.65,149.75,150,500
PREMIUM CLUB + V MOVEL 10GB,439.65,154.75,150,500
PREMIUM CLUB + V MOVEL 14GB,514.65,154.75,150,500
PREMIUM CLUB + V MOVEL 23GB,639.65,154.75,150,500
