combo,valor original,beneficio,taxa instalacao,equipamento comodato
COMBO LIGHT CLUB 300MB,188.41,108.51,150,500
COMBO LIGHT CLUB 300MB + DEEZER,198.31,112.51,150,500
COMBO LIGHT CLUB 300MB + VOZ,238.31,148.51,150,500
COMBO LIGHT CLUB 300MB + VOZ + DEEZER,248.21,152.51,150,500
COMBO BASIC CLUB 600MB,219.91,120.01,150,500
COMBO BASIC CLUB 600MB + DEEZER,229.81,124.01,150,500
COMBO BASIC CLUB 600MB + DEEZER + DTEL MAX,329.71,174.01,150,800
COMBO BASIC CLUB 600MB + DEEZER + VOZ,279.71,164.01,150,500
COMBO BASIC CLUB 600MB + DTEL MAX,319.81,170.01,150,800
COMBO BASIC CLUB 600MB + VOZ,269.81,160.01,150,500
COMBO PREMIUM CLUB,320.25,160.35,150,500
COMBO PREMIUM CLUB + DEEZER,ERRO,ERRO,150,500
COMBO PREMIUM CLUB + DTEL MAX,ERRO,ERRO,150,800
COMBO PREMIUM CLUB + VOZ,ERRO,ERRO,150,500
COMBO PREMIUM CLUB + DTEL MAX + DEEZER,ERRO,ERRO,150,800
COMBO PREMIUM CLUB + VOZ + DEEZER,ERRO,ERRO,150,500
