combo,valor original,beneficio,taxa instalacao,equipamento comodato
COMBO LIGHT 300 MB PROMOCIONAL 64.90,141.41,76.51,150,500
COMBO LIGHT,141.41,61.51,150,500
COMBO LIGHT + VOZ,191.31,101.51,150,500
COMBO LIGHT + DEEZER,151.31,65.51,150,500
COMBO LIGHT + VOZ + DEEZER,201.21,105.51,150,500
COMBO BASIC,165.41,65.51,150,500
COMBO BASIC + APP + VOZ,215.31,105.51,150,500
COMBO BASIC + DEEZER,175.31,69.51,150,500
COMBO BASIC + APP + VOZ + DEEZER,225.21,109.51,150,500
COMBO BASIC + DTEL MAX,265.31,115.41,150,800
COMBO PREMIUM ,259.75,99.85,150,500
COMBO PREMIUM + DEEZER,269.65,103.85,150,500
COMBO PREMIUM + DTEL MAX,359.65,149.85,150,800
COMBO PREMIUM + VOZ,ERRO,ERRO,150,500
COMBO PREMIUM + DTEL MAX + DEEZER,ERRO,ERRO,150,800
COMBO PREMIUM + VOZ + DEEZER,ERRO,ERRO,150,500
