Cidade,Nome da Base,Nome Verdadeiro,DDD,Plataforma
ABREU E LIMA,DTEL,Nome Informado,81,nce
AMARAJI,DTEL,Primavera ou escada,81,nce
AMEIXAS,DTEL,Nome Informado,81,nce
APOTI,DTEL,Nome Informado,81,nce
BELO JARDIM,DX2,Não importa,81,u31
BARRA DE GUABIRABA,DTEL,Nome Informado,81,nce
BEZERROS,DTEL,Nome Informado,81,unm
BOM CONSELHO,BOM CONSELHO,Não importa,87,u31
BONANÇA,DTEL,VITORIA OU MORENO,81,nce
CABO DE SANTO AGOSTINHO,DTEL,Não importa,81,nce
CAPOEIRAS,DTEL,Não importa,87,nce
CAETÉS,H&A,Não importa,87,nce
CAMELA,LITORAL,Não importa,81,u31
CARPINA,DTEL,Nome Informado,81,nce
CHÃ GRANDE,DTEL,Nome Informado,81,unm
COLÔNIA LEOPOLDINA,PALMARES,Não importa,82,nce
CUCAU,DTEL,Rio Formoso,81,nce
CUMARU,DTEL,Nome Informado,81,nce
ESCADA,DTEL,Primavera ou escada,81,unm
ENSEADAS,DTEL,Não importa,81,u31
FREXEIRAS,DTEL,"Amaraji, frexeiras ou escada",81,nce
GAMELEIRA,DTEL,Nome Informado,81,unm
GAIBU,DTEL,Não importa,81,u31
GARANHUNS,DTEL,NÃO FILTRE CIDADE,87,nce
IGARASSU,DTEL,Nome Informado,81,nce
IPOJUCA,LITORAL,Não importa,81,depende do serial 🤷
JABOATÃO,DTEL,Nome Informado,81,nce
JACUÍPE,PALMARES,Não importa,81,u31
JAPARATINGA,DTEL,Nome Informado,82,nce
JUÇARAL,DTEL,CABO OU VITORIA,81,nce
LAJEDO,DX2,Não importa,81,u31
MACEIÓ,BOM CONSELHO,Não importa,82,depende do serial 🤷
MARAGOGI,DTEL,Nome Informado,82,nce
MASSAUASSU,DTEL,Escada,81,nce
MORENO,DTEL,Nome Informado,81,nce
PALMARES,PALMARES,Não importa,81,nce
PAULISTA,DTEL,Nome Informado,81,nce
PAULO AFONSO,H&A,Não importa,87,u31
PEROBA,DTEL,Maragogi,82,nce
PIXETE,S&L,Não importa,81,u31
POMBOS,DTEL,Nome Informado,81,nce
PORTO CALVO,DTEL,Nome Informado,81,nce
PORTO DE GALINHAS,LITORAL,Não importa,81,unm
PRIMAVERA,DTEL,Primavera ou escada,81,nce
RECIFE,VOICE/DTEL,Não importa,81,nce
RIACHO DAS ALMAS,DTEL,Nome Informado,81,nce
RIBEIRÃO,DTEL,Nome Informado,81,unm
RIO FORMOSO,DTEL,Nome Informado,81,nce
SAIRÉ,DTEL,Nome Informado,81,unm
SANHARÓ,DX2,Não importa,81,u31
SANTA CRUZ,DTEL,Nome Informado,81,u31
SÃO BENTO DO UNA,DX2,Não importa,81,u31
SÃO DOMINGOS,DTEL,Santa Cruz,81,u31
SÃO JOSÉ DA COROA GRANDE,DTEL,Nome Informado,82,nce
SÃO LOURENÇO DA MATA,S&L,Não importa,81,u31
SERRAMBI,LITORAL,Não importa,81,unm
SIRINHAÉM,DTEL,Nome Informado,81,nce
SUAPE,DTEL,Não importa,81,nce
TAMANDARÉ,DTEL,Nome Informado,81,nce
TOQUINHO,LITORAL,Não importa,81,unm
VITÓRIA,DTEL,Nome Informado,81,unm
PESQUEIRA,DX2,Não importa,81,nce
