CIDADE / BAIRROS,CEP
CIDADE SEM CEP GERAL, 00000000
AMARAJI,55515000
BARRA DE GUABIRABA,55690000
BARREIROS,55560000
BEZERROS,55660000
BOM CONCELHO,55330000
CABO,54590000
CHÃ GRANDE,55636000
CUMARU,55655000
ESCADA,55500000
GAMELEIRA,55530000
GARANHUNS,55302000
GRAVATÁ,55646000
IPOJUCA,55592000
JAPARATINGA,57950000
JUÇARAL ,54570000
LAJEDO,55385000
MARAGOGI,57955000
MORENO,54800000
PESQUEIRA,55200000
POMBOS,55630000
PORTO CALVO,57900000
PRIMAVERA,55510000
RIACHO DAS ALMAS,55120000
RIBEIRÃO,55524000
RIO FORMOSO,55570000
SAIRE,55695000
SANHARO,55250000
SANTA CRUZ,55199000
SÃO BENTO,55374000
SÃO JOSÉ DA COROA GRANDE,55565000
SERINHAEM ,55580000
TAMANDARÉ,55578000
VITORIA / ZONA RURAL,55616899
